Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,3349045,3408799,2961377,2801953,3096543,3008379,2895144,3094603,2870346,3380322,3242035,3203737,2781612,3184879,3577353,2843339,2936552,3666023,2851069,2839985,3343490,3227842,2927311,3655107,3495000,3614837,2790902,2975461,3201855,3340936
1000-2,1752800,1644746,1707857,1393369,1427471,1470967,1394268,1654805,1371300,1375546,1366342,1646322,1539269,1567149,1470763,1510606,1460945,1374853,1557516,1676470,1409587,1544356,1614834,1848633,1763107,1627474,1415370,1444996,1799379,1511022
1000-4,683568,904460,828018,713305,688357,844089,728800,711493,826468,809318,791466,724315,800796,819757,720700,737815,849647,702926,679524,657851,658250,683712,759560,686595,763209,773527,713988,773495,713074,832608
1000-8,656014,822503,704961,724382,665985,683459,817938,807671,854613,686827,716001,672295,721230,680922,656098,701518,800841,778861,783499,770408,718845,672744,675281,654900,752603,837535,671813,689725,809075,660121
1000-16,831419,846904,745470,692160,780783,638834,700818,674456,666121,649626,813579,774542,805845,818220,831139,702272,683180,746776,772812,723003,651563,693035,640038,638862,678607,730212,694207,645880,693803,738896
2000-1,65204164,65857845,64548998,66070724,64858646,64856417,65329735,65736049,66066939,67385737,66454326,68825994,66330107,66311330,65933979,65685903,65889679,67580396,66553364,67888682,67874933,66853245,66875888,68372934,67640822,67262270,68932367,67845849,68626499,68665254
2000-2,35541847,34661087,34445795,34292352,34458505,34430827,34739259,34938109,35605536,34933483,35213293,35588448,36132560,35816811,36636373,35923224,36160491,36442079,35793751,35373031,34098119,33390368,33987586,33865826,32960125,33400097,34205118,33878839,34090963,34151156
2000-4,16999286,17186765,17389196,17530324,17247160,17446703,18702457,17805347,17549329,17466532,17538355,17433284,17371705,17475779,17566265,17740884,18153221,17682381,17764866,16606317,16478346,16740637,16350958,16265955,16403124,16333416,16380255,16279477,16673046,16552851
2000-8,16291558,16345921,16465411,16781598,16400102,16579697,16719136,16875527,17198989,17142537,17143700,16957996,17104606,16999306,16919067,17240551,17109771,16968344,17149440,17240982,17252223,17418661,17209570,17414311,17592278,17876877,17576920,17928736,17563912,17296291
2000-16,17326186,16693601,16574772,16391977,16454465,16243312,16227098,16354833,16438874,16637835,16567243,16880134,16542126,16681797,16838672,16715963,17012219,16909130,17173559,16878836,16950220,16895886,17021709,16899647,17064168,17021712,17054153,17464306,17123119,17606102
4000-1,760021723,728914804,705400101,714460420,731233400,749309291,754655406,762029523,749980425,721655224,716836343,725557702,763553264,752717003,743992376,730900231,713119143,713785663,721323063,730111822,753445692,764898376,768839142,760658243,761381583,772301465,757676112,773416607,761864635,754579123
4000-2,374987435,377002203,366412978,369081339,358962749,366753332,364880766,374257586,365356819,384149016,379569791,391590959,393281230,381305129,391488968,384090632,395761146,377597117,385345260,389054870,391055385,395402619,390886100,399657349,389892941,410169186,384598547,407880253,393574138,377713831
4000-4,195546161,198125978,189890900,189638829,191354138,195531865,197685012,191243999,194371060,196730299,197915594,195141820,199943521,202666881,200717017,203352760,208130894,200320245,205791005,210223504,195334121,182502072,189588135,192737450,186299834,190140527,200254103,205440420,190654491,190823130
4000-8,201747703,208132848,198456462,191762251,195236862,191777244,189697084,192361362,193695742,191953558,195923909,198064978,200880320,196523218,202209469,208847310,208624132,197807872,201746370,209583953,204476710,204221021,210475921,199610623,204717904,210363789,197598499,199422456,204981668,205447925
4000-16,179339335,181764360,186765906,188919244,186328715,189469471,191748353,187696598,189114958,192854251,194269212,198402025,209121548,189875630,181670666,188826388,186004808,178842039,187482607,193726705,185537297,185538601,193119058,198959072,189070610,196744369,205860487,190433319,189283013,193416815
