Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,0.844162,0.844397,0.8456,0.85162,0.848394,0.854451,0.858056,0.839774,0.855585,0.846442,0.854882,0.85942,0.839266,0.848689,0.849935,0.854484,0.861345,0.853633,0.844199,0.852311,0.859446,0.85404,0.863553,0.857555,0.854737,0.856431,0.859978,0.858237,0.854197,0.851778
1000-2,0.565426,0.553261,0.554947,0.556952,0.551674,0.5613,0.555087,0.551624,0.553222,0.554123,0.557062,0.558481,0.553945,0.54963,0.547598,0.559567,0.558777,0.552417,0.55584,0.557152,0.563583,0.55555,0.549324,0.566173,0.555715,0.56545,0.563236,0.557048,0.554587,0.550821
1000-4,0.388118,0.400557,0.4007,0.398232,0.397731,0.401258,0.397571,0.39784,0.405958,0.40147,0.394933,0.393234,0.393126,0.39952,0.402694,0.403889,0.406179,0.400929,0.400098,0.395942,0.395718,0.39023,0.396853,0.397928,0.401177,0.39845,0.524058,0.39746,0.399363,0.403612
1000-8,0.400723,0.394112,0.382222,0.38271,0.394923,0.39371,0.396683,0.412483,0.403884,0.395589,0.396182,0.399243,0.396247,0.384524,0.383421,0.399925,0.391924,0.400851,0.39766,0.389557,0.402661,0.396942,0.399728,0.396073,0.384529,0.388135,0.385727,0.393225,0.398315,0.398302
1000-16,0.403157,0.391113,0.395585,0.390299,0.389364,0.384658,0.388848,0.385949,0.387956,0.38353,0.388813,0.383825,0.388544,0.397316,0.39602,0.385914,0.389069,0.382727,0.382967,0.39138,0.380557,0.393232,0.386841,0.393532,0.406823,0.393338,0.396941,0.389305,0.392582,0.387866
2000-1,11.088046,12.093377,11.946952,11.923216,11.086385,11.186566,11.056782,11.037508,10.957324,11.027581,11.038409,11.010277,11.024141,11.419811,11.457186,10.995088,11.042973,10.998209,11.126568,10.938626,11.059332,10.967379,11.078491,11.007545,11.016711,11.057756,11.191583,11.489692,11.012228,11.055322
2000-2,7.067765,7.085929,7.091973,7.09728,7.17707,7.111451,7.173309,7.160969,7.126434,7.106343,7.139046,7.185954,7.156939,7.151574,7.107683,7.117525,7.137657,7.131465,7.260239,7.136945,7.104405,7.104975,7.155785,7.108649,7.112188,7.107083,7.175655,7.106139,7.152577,7.104103
2000-4,4.941389,4.847284,4.843386,4.825294,4.844083,4.836883,4.824411,4.827438,4.855497,4.833781,4.859134,4.83743,4.845944,4.853551,4.842424,4.829349,4.931068,5.139183,4.831451,4.843036,4.832933,4.821597,4.8243,4.838161,4.875174,4.869011,4.858678,4.849005,4.837264,4.848542
2000-8,4.842665,4.721584,4.745519,4.825865,4.957488,4.709791,4.673082,4.685206,4.692134,5.048225,4.700453,4.707346,4.740268,4.693284,4.665565,4.628111,4.674945,4.65487,4.764136,4.704169,4.660848,4.77961,4.675927,4.681489,4.753577,4.629714,4.70116,4.583376,4.686694,4.867871
2000-16,6.685119,7.01945,6.769763,6.688357,6.834376,7.001952,6.81193,7.198179,7.279821,6.453369,6.571979,6.913064,6.945018,7.065259,6.880405,6.844291,6.991812,6.721255,7.031174,7.193391,6.82061,7.230296,6.685519,7.203762,6.994984,6.686825,7.027488,7.651573,6.761453,6.824678
4000-1,190.872512,193.047679,193.730121,200.388815,192.255199,190.321066,195.189008,196.641119,191.11547,191.616597,191.327034,193.023555,191.744643,192.810737,197.651206,194.634317,191.225705,194.552297,194.484634,197.08768,195.033422,192.190864,204.558751,192.305099,197.401096,192.914745,194.192631,192.480053,195.888429,197.520625
4000-2,117.269695,120.068192,117.229417,116.832055,116.910346,117.978862,120.967774,116.194117,116.227983,116.597462,117.06496,117.092961,119.526799,118.608183,118.510401,117.723608,118.349648,116.653802,117.144676,119.733795,120.672639,116.84729,117.063719,124.668832,118.864442,116.637051,116.93439,116.14475,121.249247,118.132843
4000-4,84.136825,82.73707,83.518668,83.784385,83.851638,82.952671,82.235567,82.649768,83.512654,82.278322,82.520122,82.184795,83.110811,82.651517,82.896615,82.117764,84.284343,84.744341,86.765459,81.704854,81.928111,84.334586,85.393696,84.525749,81.930692,82.042695,83.066699,83.12005,82.6358,83.381642
4000-8,80.477172,78.104967,80.172929,82.503566,80.815217,79.823145,80.228807,79.623987,82.425641,80.471862,75.956202,81.74985,79.645934,82.172585,85.038347,82.936165,76.879523,82.287668,82.638247,81.973137,82.601254,79.117304,84.689089,81.212166,83.897644,80.994069,83.464807,82.4928,80.432236,82.517957
4000-16,84.374501,84.327827,84.074357,84.721351,84.32243,83.856887,83.752193,84.221018,84.792386,84.291609,83.717369,83.578774,84.334883,84.883911,84.110285,84.30817,84.113522,88.484064,84.371599,84.389159,84.209255,84.573967,84.638339,84.28674,84.380383,83.733471,84.156476,83.935341,85.579837,86.304837
