Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,6.291839,6.481076,6.414348,6.123118,6.669699,6.248455,6.338654,6.15698,6.137825,6.303497,6.199342,6.18262,6.161657,6.176852,6.576729,6.580172,6.406962,6.499209,6.268832,6.351365,6.154427,6.371752,6.261563,6.230946,6.184533,6.243758,6.270078,6.285808,6.192937,6.290108
1000-2,2.991557,3.075408,3.040584,2.94528,3.120741,2.963897,2.966941,2.944338,3.017495,3.199823,3.159499,3.031387,3.087309,3.011261,2.986198,3.295802,2.914677,3.024904,3.056916,2.923291,2.921807,2.933185,3.231014,2.943756,3.095347,3.036243,2.962493,2.975707,3.009976,2.962567
1000-4,1.348387,1.324602,1.328442,1.455152,1.431907,1.390334,1.420962,1.337463,1.336942,1.412487,1.374553,1.378293,1.324813,1.327901,1.408315,1.352259,1.411983,1.338402,1.401679,1.454948,1.393486,1.324248,1.370942,1.418806,1.374555,1.307686,1.323898,1.342073,1.317188,1.344453
1000-8,1.393289,1.427533,1.314563,1.303905,1.389169,1.418195,1.352541,1.376014,1.381714,1.325612,1.319304,1.34819,1.343034,1.347828,1.354838,1.306121,1.360248,1.351954,1.308058,1.330973,1.316022,1.431725,1.34673,1.298341,1.36327,1.388823,1.346466,1.39933,1.390411,1.332425
1000-16,1.396418,1.299745,1.304502,1.325791,1.335306,1.298583,1.362171,1.314017,1.339797,1.367317,1.372071,1.375983,1.410215,1.315973,1.353865,1.328104,1.367284,1.313036,1.314608,1.361992,1.412562,1.292501,1.386588,1.374719,1.340619,1.407759,1.438313,1.391512,1.393876,1.330797
2000-1,81.047881,84.083809,79.495473,79.57148,81.128298,81.351762,82.130783,82.625369,83.289511,83.305256,80.36095,82.250797,81.067286,81.798346,82.019242,82.503521,81.446635,80.863879,80.078082,80.94171,80.679562,81.725536,81.23397,81.101656,82.696577,81.509756,81.334552,80.582505,80.192795,80.432229
2000-2,40.333609,40.214252,41.239179,40.767358,41.010053,41.308922,40.940091,41.960765,42.046252,40.941738,40.641385,39.723547,39.597029,40.014284,39.918807,40.040736,40.210443,40.003658,40.764456,41.175126,40.699799,41.357306,41.730166,41.599931,42.331376,42.257965,40.715178,40.535,40.90168,40.72903
2000-4,19.713798,20.202222,20.007526,20.092376,20.265203,20.189721,20.06943,20.2726,20.30693,20.249277,20.701501,20.667325,20.7298,20.911546,21.66491,20.521193,20.825334,20.688159,21.062936,17.538396,19.11974,18.86367,18.660506,18.789513,20.184424,18.983307,19.323723,19.207131,19.409036,19.166082
2000-8,17.47167,17.843873,17.92376,18.050195,18.145874,18.106845,17.716276,17.900883,18.373977,18.139093,18.171378,18.418046,18.73562,18.182502,18.409112,18.670298,19.436784,18.513862,18.617858,18.269503,17.884034,17.867569,18.070398,17.481835,17.774442,17.708629,17.422678,17.588512,17.792079,17.599343
2000-16,16.866671,17.515925,17.551093,17.476126,17.517795,17.469711,17.626827,17.808499,18.337372,17.791743,17.985804,18.201469,18.146118,19.710013,18.112719,18.008807,17.811371,17.773064,18.063863,18.206823,18.08546,18.241571,18.309088,18.205921,18.384449,19.630846,19.039958,18.972355,18.746824,18.51038
4000-1,869.465903,870.286734,889.977133,882.906119,912.653277,892.410719,860.286799,863.543031,860.55432,890.702442,917.578666,893.387148,903.722202,882.772319,869.786299,896.862764,886.081871,886.740529,897.411029,877.823275,878.488406,878.324156,916.871302,881.219368,877.67782,893.648162,870.062865,881.297842,873.472453,889.80851
4000-2,427.779965,434.936465,415.051221,429.98542,426.531026,420.540841,429.023496,443.559241,442.311809,448.210191,444.096435,434.848719,442.391775,430.533133,422.538446,434.804432,429.083133,422.394388,423.693381,426.693824,435.772216,444.147885,432.599247,464.716781,493.45691,486.214305,468.524407,461.386354,454.608589,466.831926
4000-4,224.229724,230.596848,236.700447,226.450215,235.457379,240.088741,228.060344,237.569432,237.760722,243.163484,241.491597,235.534679,242.826198,245.90134,229.748777,231.243273,236.084394,226.146036,231.364623,233.37305,225.390247,228.805429,232.700959,229.552964,227.982276,220.226716,221.103118,228.03664,211.126472,222.124337
4000-8,216.645471,206.434151,221.543592,225.474838,216.150864,216.660716,220.25575,224.969229,218.439486,221.948563,228.788201,219.534172,210.406607,214.826866,211.602413,217.386889,217.918561,218.780062,214.644859,217.132906,218.12046,212.431176,217.327481,222.539253,224.652915,217.671794,219.514551,215.802479,209.099242,221.123694
4000-16,227.88839,217.528041,225.287302,223.602694,209.923568,220.29103,228.557907,221.769535,213.215261,220.002276,221.13166,214.734139,215.094646,217.606552,212.134239,216.113239,224.884947,215.287458,218.437191,217.257127,218.631986,211.371351,221.232226,226.169027,217.534289,223.84812,231.879022,219.711082,224.686318,225.389165
